Name,frameCount,frameDisplayed,errorCountBC,errorCountAC,dataPacketCount,overheadPacketCount
Standard,656,171,485,485,3078,0
Corrected,667,338,488,329,6084,2668
CorrectedML,654,448,501,206,8064,4642

duration,22470
nList,30:34:26:22:24:32:26:18:18:18:18:18:18:18:18:18:18:18:18:18:28:18:18:18:22:24:24:18:24:24:18:18:18:18:18:18:18:18:18:22:18:24:30:28:30:30:26:24:26:30:26:30:38:34:32:28:24:28:24:20:26:32:30:28:30:40:34:22:28:24:26:30:32:26:40:34:32:36:28:28:26:34:34:34:34:20:28:26:20:22:28:30:30:34:28:38:30:30:34:34:28:28:30:24:24:24:24:26:30:26:28:34:26:26:22:36:26:30:36:34:18:22:22:22:28:24:22:22:18:18:18:20:18:20:18:18:32:32:32:38:36:32:30:36:28:24:30:32:28:22:32:26:28:32:34:32:26:42:38:32:32:30:28:40:28:30:40:32:32:24:28:30:22:30:32:30:26:32:32:36:32:30:26:34:34:32:28:38:38:30:34:34:26:32:26:28:34:32:22:22:24:28:24:20:22:18:26:32:22:24:28:28:30:28:20:28:18:18:18:22:26:18:34:20:28:26:18:18:18:18:18:18:18:22:22:22:22:18:18:20:20:20:26:24:20:24:24:24:20:18:20:20:22:18:18:18:18:18:18:18:20:22:22:24:28:28:20:20:28:20:18:18:18:18:20:18:22:22:18:20:18:18:18:18:18:18:18:18:18:18:18:20:18:18:18:18:18:18:18:18:18:22:24:30:26:30:22:30:32:30:34:32:30:28:28:28:28:34:30:22:30:26:24:28:30:28:30:26:24:20:24:26:26:26:18:24:22:22:26:22:24:24:22:22:26:22:18:18:18:18:18:18:18:18:18:18:18:26:22:18:18:18:18:18:22:18:18:18:18:18:18:18:18:24:24:18:22:22:22:32:20:22:22:22:18:18:18:22:24:18:24:22:20:20:22:26:18:18:22:24:22:22:24:30:26:26:20:32:34:24:34:28:28:32:36:32:30:34:28:26:36:36:32:32:30:32:30:30:28:32:32:34:28:32:32:42:30:28:28:22:26:30:38:26:20:36:30:28:26:30:32:36:28:32:30:30:30:20:26:20:20:32:26:34:28:26:20:20:26:22:24:22:24:28:20:22:24:20:24:18:18:20:24:26:22:26:18:28:22:22:34:30:18:18:18:18:18:18:18:18:18:18:22:18:18:26:24:24:18:18:18:18:18:18:18:18:18:24:20:30:18:22:18:18:18:18:18:24:26:24:28:24:20:24:26:30:22:24:28:26:24:28:24:26:34:32:26:32:36:28:34:38:32:32:26:36:36:36:32:44:28:30:26:28:28:32:30:34:28:30:34:34:40:26:26:28:32:28:24:26:20:18:22:20:30:22:22:28:26:26:24:26:30:28:18:28:22:22:28:32:32:32:34:38:36:32:20:24:34:26:24:20:26:30:34:26:28:28:28:26:20:24:22:26:20:22:20:26:26:24:24:22:24:26:26:28:18:18:18:18:28:22:18:20:18:18:18:18:18:20:26:22:26:20:
