Model Name,strategy,Accuracy
DummyClassifier,most_frequent,0.19535494656397398
,prior,0.19535494656397398
,stratified,0.18260791689056063
,uniform,0.16845781837721654
Accuracy,Precision,Recall,F1
0.1950665171671869,0.03251108619453115,0.16666666666666666,0.05440883118639484
