Model Name,criterion,max_depth,Accuracy
DecisionTreeClassifier,gini,1,0.3868290644217565
,gini,6,0.6490686011105141
,gini,11,0.6490686011105141
,gini,16,0.6490686011105141
,entropy,1,0.38188847095348977
,entropy,6,0.6490686011105141
,entropy,11,0.6490686011105141
,entropy,16,0.6490686011105141
Accuracy,Precision,Recall,F1
0.6453528894814995,0.5371740660142218,0.5643026136301156,0.5492262104708788
