Name,frameCount,frameDisplayed,errorCountBC,errorCountAC,dataPacketCount,overheadPacketCount
Standard,900,181,719,719,3258,0
Corrected,900,299,733,601,5382,3600
CorrectedML,901,585,737,316,10530,7352

duration,30000
nList,28:34:36:32:34:28:28:28:34:26:30:40:30:28:30:26:28:24:26:40:32:36:30:34:34:38:24:28:26:36:38:30:32:30:26:30:32:32:30:42:26:32:26:28:32:26:36:34:28:36:42:32:30:24:28:40:28:26:28:28:36:40:32:28:34:28:26:28:24:26:30:18:22:26:32:22:26:24:18:18:20:28:18:18:26:18:18:18:18:18:18:24:22:22:28:22:24:18:20:26:20:18:26:24:24:24:22:30:24:22:20:20:26:24:32:32:24:26:26:20:28:24:24:26:22:24:24:22:22:20:18:18:18:18:22:28:18:20:26:18:18:18:18:18:20:18:26:32:42:28:30:38:28:22:28:36:20:32:32:28:26:24:22:26:28:38:34:30:22:36:24:30:30:42:32:44:34:32:32:32:34:40:34:26:28:24:22:18:22:20:20:30:26:36:32:28:26:30:30:40:36:36:28:36:28:26:32:22:24:26:30:24:24:22:30:26:30:32:34:30:32:28:40:32:38:30:28:28:36:30:26:42:24:36:26:32:32:32:32:32:28:36:32:30:30:30:24:22:28:24:22:28:22:18:24:22:22:24:20:18:18:18:18:20:28:22:26:22:28:24:26:18:18:18:18:18:18:18:18:18:18:18:18:20:24:28:28:22:20:22:28:18:24:24:18:24:24:22:20:24:22:30:18:28:26:24:20:18:18:18:18:30:28:24:24:32:24:30:24:26:28:26:34:30:34:36:28:32:28:30:32:32:30:32:22:20:18:20:24:18:18:18:18:18:18:18:18:18:18:20:20:22:18:18:18:18:18:18:20:22:22:20:22:24:22:18:18:18:18:18:18:18:18:24:20:18:18:18:26:20:24:20:20:22:20:30:34:32:30:28:28:32:32:24:26:36:28:30:24:32:34:32:36:32:32:32:30:32:24:30:26:28:34:30:30:32:34:28:30:20:18:18:22:28:28:28:30:26:34:30:38:38:36:40:32:36:36:28:26:26:28:34:34:30:28:34:38:36:36:30:36:32:36:32:32:28:36:28:32:34:28:34:24:24:32:28:24:30:28:24:32:30:32:28:30:22:30:18:18:18:18:18:18:18:18:22:18:20:26:24:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:20:20:24:28:26:20:26:22:20:20:20:22:28:26:18:22:20:20:26:22:18:18:18:18:28:18:24:28:30:28:22:20:24:18:18:18:22:24:20:22:18:24:32:32:26:30:34:22:24:32:22:24:20:28:20:18:18:18:18:18:18:18:26:22:26:22:22:26:32:22:24:20:22:24:22:24:20:22:22:20:18:18:18:18:18:18:18:28:24:22:24:36:34:36:26:24:34:22:32:28:34:28:32:30:30:34:32:34:34:34:24:26:26:32:30:30:20:22:20:26:32:28:34:36:30:28:34:36:38:30:28:30:26:20:22:28:32:20:34:22:26:26:32:30:28:32:24:28:24:28:24:24:36:40:28:36:32:28:20:18:18:18:20:24:28:26:26:32:22:24:26:30:32:26:30:28:34:30:34:38:28:30:34:32:26:30:24:26:26:28:30:32:40:34:30:28:32:28:24:24:34:34:22:36:32:36:26:32:28:28:30:32:36:28:30:24:28:26:30:26:26:32:32:38:38:30:30:40:34:30:28:38:32:28:28:28:30:22:28:24:26:32:32:24:28:26:26:24:24:20:18:18:18:18:18:18:18:18:18:22:32:28:20:28:24:28:18:24:20:24:18:18:22:18:26:36:28:22:20:26:24:30:32:30:38:34:34:36:40:36:28:30:36:30:32:32:28:26:22:28:26:26:26:26:20:22:20:18:18:18:18:18:18:20:30:32:24:24:30:24:30:36:40:32:26:30:36:40:32:30:30:32:26:30:30:36:36:28:38:26:30:40:30:24:20:22:24:18:24:18:18:18:18:18:18:18:18:18:18:26:22:30:24:26:24:30:20:18:18:18:18:18:22:18:22:20:20:22:28:28:22:22:28:24:26:20:26:20:26:26:24:20:30:26:28:
