Name,frameCount,frameDisplayed,errorCountBC,errorCountAC,dataPacketCount,overheadPacketCount
Standard,901,162,739,739,2916,0
Corrected,901,440,650,461,7920,3604
CorrectedML,900,563,746,337,10134,7158

duration,30001
nList,30:22:20:24:22:28:26:32:30:26:36:30:26:32:20:18:20:26:22:18:22:22:26:20:18:22:20:30:20:20:20:18:22:18:18:18:18:20:28:22:24:24:22:24:22:34:30:28:26:24:22:20:30:28:20:22:18:32:24:22:22:26:20:30:22:20:38:30:30:20:20:18:18:22:20:24:18:24:26:18:18:18:18:18:22:22:22:20:18:18:18:18:18:18:18:18:18:18:18:20:18:18:22:24:22:18:18:26:26:28:28:34:32:38:32:34:24:24:28:24:26:20:24:22:28:24:22:30:30:36:30:28:30:18:18:18:18:18:18:18:18:18:18:22:18:18:22:18:18:18:18:18:24:28:36:34:30:30:20:28:22:20:22:22:28:26:34:34:30:26:24:24:38:28:22:22:30:30:28:22:34:28:34:30:30:28:32:30:42:32:28:36:28:32:32:30:28:34:36:34:28:30:34:34:28:38:34:30:30:32:32:26:36:22:34:28:32:32:28:24:34:26:22:28:30:26:24:26:22:28:28:26:26:32:34:28:32:26:30:24:34:36:28:34:38:34:30:28:24:28:28:28:28:32:36:32:34:38:28:26:40:30:34:32:32:32:34:28:28:26:30:36:34:40:30:28:36:28:24:28:30:34:34:26:28:34:28:36:36:36:30:34:26:32:24:26:22:32:26:22:22:26:24:26:24:30:28:36:32:32:30:32:36:26:24:26:22:18:18:22:18:18:18:18:18:18:26:26:26:22:18:20:20:26:26:18:24:28:30:36:36:28:26:26:18:28:30:32:28:26:36:36:28:34:28:28:26:28:28:28:28:22:22:20:24:22:18:22:20:24:18:24:22:28:28:24:26:30:30:30:38:32:44:32:40:32:32:36:34:36:40:32:38:28:32:28:34:26:22:28:20:24:20:20:18:20:18:22:22:20:18:18:22:20:22:22:26:26:18:18:18:18:20:20:20:22:26:24:30:34:30:24:22:26:28:26:28:26:22:18:20:22:22:18:18:18:18:18:20:28:24:34:24:30:26:22:22:30:30:40:40:28:30:26:24:28:28:28:28:36:34:34:32:30:38:38:36:28:28:38:32:34:32:32:34:36:28:32:30:30:38:36:30:38:30:24:30:38:32:30:26:30:32:28:34:34:40:36:32:32:34:34:30:26:32:38:28:36:38:28:34:32:28:34:30:30:32:34:32:20:28:28:36:36:30:32:26:26:26:28:26:26:24:28:24:26:28:36:32:30:36:32:32:38:34:22:34:32:28:30:30:34:38:40:28:36:30:32:32:28:28:44:32:38:36:30:32:34:26:30:34:20:28:22:20:24:24:22:22:20:20:18:22:22:28:26:20:26:32:24:18:18:22:20:22:20:24:22:20:26:20:18:18:18:18:18:18:26:18:18:20:24:22:30:34:22:18:22:20:18:20:22:24:26:30:22:28:32:30:22:28:28:28:26:24:26:24:22:26:28:28:30:26:28:36:34:28:26:26:28:30:32:26:34:26:32:30:26:28:32:28:30:28:18:26:32:22:20:22:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:22:18:18:18:18:18:18:20:28:28:24:32:32:20:28:26:30:18:18:20:20:18:22:30:28:30:26:26:26:30:28:28:36:30:30:30:34:28:22:24:20:26:20:22:26:30:22:18:22:20:28:20:30:30:32:28:24:24:30:36:30:26:28:32:24:32:32:38:30:36:32:34:32:26:26:30:26:26:28:26:30:32:26:26:28:26:26:24:22:20:18:18:18:18:18:18:22:22:24:22:20:18:18:22:20:20:30:22:30:24:26:34:34:32:32:28:22:34:28:30:28:34:26:18:28:30:20:18:18:18:18:18:20:18:20:22:26:30:20:20:22:24:24:24:18:18:18:18:22:20:22:24:28:22:24:18:18:18:18:18:18:24:22:20:18:18:18:18:18:18:18:18:18:18:18:22:20:20:18:18:20:18:18:18:22:24:26:22:24:20:26:22:22:22:24:20:18:24:20:24:22:18:18:18:
Standard,2:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:4:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:1:0:0:0:1:0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:3:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:5:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:1:0:0:0:0:0:1:0:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:1:1:1:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:1:0:0:1:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:3:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:
Corrected,0:0:0:0:0:0:1:0:0:0:0:0:0:0:8:0:0:0:0:0:1:0:1:0:1:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:1:0:0:1:0:1:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:2:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:1:1:0:1:0:0:0:0:1:1:0:0:1:0:0:0:0:0:1:1:1:1:1:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:2:0:1:0:0:1:0:0:0:1:0:0:1:0:0:0:0:1:0:1:1:1:0:1:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:1:1:0:0:0:0:0:0:1:1:0:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:1:0:1:0:0:0:0:0:0:1:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:1:0:2:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:1:0:0:0:0:0:1:1:1:0:0:0:0:0:0:0:0:2:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:1:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:1:1:0:1:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:1:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:1:1:1:0:0:0:2:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:1:0:2:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:1:0:1:0:0:0:0:0:1:1:1:0:0:1:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:4:1:0:0:0:0:0:0:0:1:0:0:0:0:
CorrectedML,19:17:19:22:17:18:19:18:19:15:21:18:14:38:30:12:32:29:14:11:10:9:18:17:21:19:18:20:27:26:21:19:21:23:19:23:26:21:25:21:15:13:13:29:30:32:15:10:8:10:22:18:21:29:21:18:17:18:19:22:21:26:24:14:19:28:26:31:23:19:20:19:15:17:16:15:15:16:14:22:26:33:28:15:14:14:18:17:12:10:10:12:12:13:15:16:15:14:15:16:14:14:15:13:13:14:13:15:14:14:19:13:15:19:15:14:16:25:19:23:29:26:22:19:20:27:24:29:23:23:17:16:15:15:17:17:18:19:19:14:20:18:21:16:17:13:15:14:15:15:14:19:20:23:20:31:20:22:21:10:9:9:12:25:27:22:25:22:23:21:22:31:22:31:17:10:11:16:19:16:18:21:18:19:17:18:18:20:20:17:17:46:19:20:17:17:20:17:16:18:18:18:22:21:23:25:19:24:18:21:22:20:18:22:18:21:20:19:19:22:19:20:21:21:22:25:21:23:22:19:24:22:22:25:23:31:21:11:13:21:23:21:20:23:20:24:19:19:18:24:22:22:33:22:18:15:18:16:19:17:16:15:19:18:16:18:16:15:19:17:16:30:37:9:12:7:9:26:24:28:20:9:9:9:16:23:21:23:30:20:17:11:11:13:14:13:13:10:13:11:15:14:18:14:13:12:11:14:15:11:13:14:14:13:16:12:26:25:30:35:13:8:7:9:10:13:18:14:13:15:20:17:16:17:20:20:22:22:18:21:16:25:21:15:15:20:9:26:25:24:25:22:27:23:22:14:10:10:11:17:20:21:19:10:10:10:15:16:20:24:21:21:20:17:18:21:18:17:19:17:22:19:48:26:18:8:10:10:7:8:10:20:21:24:22:18:21:23:23:20:44:26:12:9:9:12:20:27:23:24:23:26:14:8:13:9:10:17:29:28:26:25:23:12:7:10:11:11:11:11:20:19:18:20:17:26:24:25:20:13:13:12:11:12:9:12:13:10:11:13:15:17:12:13:11:13:14:12:11:20:19:18:20:18:15:18:19:19:17:18:18:23:26:20:19:18:18:12:13:13:11:21:27:24:22:20:14:12:10:11:27:51:12:11:10:10:11:20:21:22:20:20:26:27:21:9:10:14:11:11:13:22:26:29:24:28:18:19:18:19:19:15:16:14:18:18:20:19:20:15:15:15:16:21:27:25:26:33:16:11:12:13:14:23:21:21:21:25:28:29:23:23:30:18:10:8:7:12:22:23:30:27:23:27:29:22:20:18:22:27:30:26:30:28:26:23:15:10:10:9:16:23:30:24:22:21:11:13:19:23:27:22:20:20:14:12:12:12:10:10:24:25:24:36:19:15:17:12:11:13:11:12:11:13:11:12:19:12:11:10:11:10:10:15:17:17:21:21:18:16:18:21:17:16:17:16:16:17:17:18:16:19:23:21:23:23:24:21:23:25:26:21:18:22:19:22:19:24:19:22:20:26:34:21:27:20:15:15:12:29:25:22:25:15:20:19:18:22:19:28:25:12:10:34:27:26:14:10:9:10:13:14:14:14:15:14:13:12:14:16:13:16:14:12:13:14:12:16:14:13:13:12:11:11:14:11:23:22:27:26:31:20:11:8:10:16:21:18:18:18:18:18:17:17:19:17:15:16:14:14:13:15:14:13:15:15:24:21:25:10:10:10:12:21:29:44:20:13:9:9:28:32:23:30:37:14:11:22:27:21:17:17:15:16:18:14:18:16:14:16:18:15:15:17:14:18:17:15:17:17:14:16:15:17:23:17:16:22:32:15:11:13:10:11:31:29:40:13:10:10:23:20:19:24:27:18:12:22:29:18:23:19:13:10:10:31:30:40:17:12:8:8:18:16:12:15:21:14:15:12:14:15:14:14:16:22:25:24:29:45:6:8:22:19:20:22:21:19:17:16:15:14:15:15:15:16:18:15:15:16:21:15:19:20:15:18:23:9:8:9:21:32:20:17:12:11:23:27:27:15:9:10:10:10:13:16:15:21:21:12:
