Name,frameCount,frameDisplayed,errorCountBC,errorCountAC,dataPacketCount,overheadPacketCount
Standard,900,309,591,591,5562,0
Corrected,900,300,737,600,5400,3600
CorrectedML,900,613,690,287,11034,6690

duration,30001
nList,40:36:22:26:30:22:24:34:36:32:30:38:28:28:20:18:18:18:18:18:18:18:18:22:20:26:24:28:24:18:18:18:18:18:18:18:18:18:18:18:18:24:18:18:18:18:18:18:18:18:18:18:24:20:18:28:20:22:18:24:20:22:22:22:24:28:18:22:24:18:18:18:18:18:18:18:18:18:18:24:24:24:22:20:24:22:34:28:24:18:18:26:22:20:20:24:24:28:20:24:20:22:18:24:22:20:20:18:18:32:32:28:32:24:28:34:26:20:20:18:18:18:18:18:18:18:18:22:20:24:20:30:22:32:18:22:18:18:18:18:18:18:20:20:18:18:18:18:20:22:20:24:34:22:20:24:26:18:18:26:22:28:18:18:18:20:22:24:34:28:34:34:28:26:24:24:26:28:20:20:24:20:22:24:18:18:20:24:18:24:20:22:28:26:24:28:28:28:28:22:18:18:18:18:18:18:18:18:18:18:18:26:22:18:18:18:18:18:34:24:30:30:22:18:20:18:18:18:18:18:20:22:18:22:18:18:18:18:18:18:26:22:18:22:22:24:18:22:20:18:18:18:26:32:28:20:22:18:18:18:18:18:18:22:18:18:18:18:18:18:22:28:22:24:22:22:32:26:20:18:18:18:18:18:20:26:20:20:26:18:18:18:18:18:18:18:18:18:18:18:22:26:30:30:30:32:28:32:30:30:26:24:20:18:20:24:22:28:30:32:28:28:30:32:26:32:40:34:24:30:26:26:26:20:24:18:24:26:30:18:22:24:30:24:22:22:26:32:32:32:34:36:36:30:34:36:30:32:36:30:32:30:36:28:28:36:22:32:22:26:30:20:24:28:38:34:34:32:32:24:42:30:28:30:26:34:34:26:20:38:34:34:32:42:34:34:36:34:36:32:34:28:34:28:22:34:42:32:30:30:32:26:36:30:32:36:38:34:30:30:32:28:32:24:26:20:28:30:24:20:24:20:18:18:18:20:24:18:22:24:38:28:40:28:30:28:28:22:20:28:24:20:22:18:20:22:30:24:26:32:30:30:26:32:30:32:24:36:36:32:32:24:34:34:32:26:34:26:32:34:34:38:40:26:30:30:26:22:20:18:18:18:18:18:18:18:22:24:18:18:18:18:18:18:18:18:18:18:18:22:20:22:20:26:20:20:18:18:18:18:18:18:18:24:20:24:28:22:28:30:24:22:36:26:36:30:36:26:24:28:26:38:36:32:32:40:36:32:36:32:22:40:34:24:28:24:36:26:34:36:30:32:34:28:36:36:34:32:34:32:22:30:24:30:32:38:24:40:34:34:34:36:32:30:28:28:26:28:32:42:26:36:32:24:28:28:30:30:30:36:26:26:30:36:32:28:30:26:30:24:18:24:22:22:22:22:24:18:22:24:22:34:26:24:28:28:26:22:26:22:36:30:34:36:36:22:28:24:28:34:32:24:36:26:32:28:34:34:34:28:34:36:34:32:26:22:34:20:26:34:34:34:38:38:36:30:32:30:24:30:28:34:32:32:36:36:30:28:32:36:28:26:26:26:34:26:32:26:32:42:26:26:38:34:30:34:30:28:32:28:32:36:22:32:28:30:30:36:38:32:22:26:28:30:26:26:30:26:30:34:22:36:24:24:30:22:22:26:26:36:38:32:28:32:34:32:28:26:36:38:26:30:26:26:30:20:24:22:18:26:18:20:18:18:20:22:18:24:20:20:22:26:24:20:22:28:28:28:24:28:26:32:32:26:28:36:38:32:28:28:30:28:30:26:28:26:30:28:26:36:30:24:32:22:26:24:18:26:22:24:24:18:22:18:18:18:24:18:18:18:18:18:18:22:20:24:18:20:24:20:26:18:18:18:18:18:18:18:18:24:20:20:28:18:34:28:28:30:26:34:30:30:36:36:24:30:34:26:22:18:22:18:22:18:18:20:18:18:18:18:22:18:22:18:24:28:26:28:18:30:24:18:18:18:22:22:28:22:26:22:18:20:28:24:28:26:30:34:28:22:20:20:28:32:28:26:28:20:28:20:
Standard,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:0:0:0:1:1:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:3:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:1:0:0:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:1:0:1:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:
Corrected,0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:10:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:1:0:0:0:1:1:0:0:0:0:1:0:0:0:0:0:0:0:1:4:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:1:1:0:0:0:0:0:0:0:1:0:1:0:0:1:1:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:1:0:0:1:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:1:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:1:0:1:0:0:0:1:0:1:0:1:0:0:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:1:1:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:1:0:0:1:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:1:0:0:1:0:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:1:0:1:1:1:1:0:0:0:0:1:0:1:0:0:0:0:1:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:0:1:0:1:1:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:1:1:0:0:0:1:0:0:
CorrectedML,12:11:20:21:18:20:23:23:26:21:27:15:8:8:27:28:38:12:9:8:6:18:26:28:27:28:15:11:28:31:29:11:9:11:7:6:20:23:8:31:44:15:10:7:20:44:32:14:13:8:6:7:10:21:20:33:26:8:9:7:9:19:21:22:22:23:18:12:10:9:9:7:14:11:12:10:10:11:10:22:44:30:27:26:12:10:9:8:14:18:18:24:16:19:16:18:16:17:19:17:15:18:16:18:16:18:29:27:19:18:23:19:18:19:10:8:12:10:14:9:15:14:11:18:19:9:14:12:11:13:16:13:12:11:30:35:17:7:9:7:7:10:17:25:44:16:19:28:26:17:9:7:8:10:25:24:28:29:22:11:14:10:9:12:10:11:15:10:11:11:13:11:14:9:14:12:15:15:14:16:11:12:10:11:12:10:11:13:14:11:12:10:11:22:22:38:23:8:6:7:8:21:25:23:24:25:9:7:18:25:24:24:14:14:16:10:12:10:10:9:10:13:13:20:20:19:22:21:17:15:17:15:19:29:25:17:10:20:29:26:12:9:11:9:11:11:13:10:11:12:11:15:18:14:15:14:13:12:13:11:12:13:11:13:12:11:12:13:11:11:14:11:12:12:10:11:11:11:13:12:11:13:12:11:12:12:11:21:26:19:23:20:18:9:11:9:11:22:19:24:27:17:20:22:19:16:14:16:16:14:12:20:13:36:18:12:9:10:9:10:15:19:16:17:19:18:18:18:17:14:16:19:19:17:19:13:20:18:19:19:17:18:17:17:15:23:28:24:19:16:17:17:19:17:18:14:15:14:27:20:25:17:13:11:14:18:17:12:14:12:11:12:12:13:15:15:12:30:41:17:8:8:14:13:12:13:17:25:19:23:21:11:13:11:11:12:10:14:20:20:20:26:21:27:28:27:23:23:20:20:25:18:20:15:18:18:18:18:20:26:19:22:12:8:28:27:23:22:12:23:24:20:28:25:29:19:20:17:18:13:15:13:15:14:16:14:19:16:19:24:23:27:12:10:14:9:12:13:15:25:23:20:20:23:29:15:27:35:12:10:13:11:11:9:14:11:14:12:14:17:12:28:55:14:6:9:39:37:19:8:9:12:8:8:15:11:13:13:11:11:11:12:13:12:11:12:12:12:11:18:22:42:40:17:18:8:8:9:12:12:11:11:10:13:11:11:17:12:13:12:13:11:12:21:14:13:14:11:11:17:11:13:11:16:11:11:13:12:16:22:28:26:29:13:9:11:15:15:14:15:13:23:25:22:21:22:24:26:29:27:17:14:16:19:21:30:20:11:11:14:12:11:26:19:26:21:42:20:17:21:18:14:15:13:11:13:11:13:11:12:17:18:17:17:19:25:29:25:32:19:17:14:14:16:17:22:19:38:23:12:8:19:27:16:25:27:17:18:15:17:22:15:19:19:20:12:11:12:13:11:26:19:31:41:20:15:11:10:11:8:26:11:18:19:19:18:20:22:18:27:30:29:26:14:9:10:15:15:19:14:15:12:13:15:15:30:30:20:14:9:9:10:13:18:13:11:12:12:13:11:11:12:12:14:12:22:22:23:28:16:15:18:16:17:17:14:15:17:18:19:16:18:18:18:22:20:20:23:21:19:30:28:23:21:16:18:14:17:15:24:17:17:16:16:17:14:16:18:28:27:34:24:15:9:30:29:31:31:18:14:14:12:25:22:23:23:21:13:8:8:6:7:8:18:24:23:30:27:11:9:9:9:22:25:30:25:30:18:9:10:11:15:18:16:15:21:20:17:19:12:22:24:20:26:25:18:12:9:10:14:22:26:27:10:9:22:26:38:15:10:11:13:11:22:21:19:14:9:9:19:23:20:27:33:10:6:8:8:10:14:15:15:16:16:16:15:17:13:16:15:15:15:13:14:17:16:15:22:21:15:7:8:24:26:27:28:23:25:22:11:9:8:8:8:7:9:15:17:20:15:23:21:18:15:15:39:14:17:19:16:18:21:16:15:8:7:8:8:6:8:12:18:22:25:22:26:22:18:10:11:
