Name,frameCount,frameDisplayed,errorCountBC,errorCountAC,dataPacketCount,overheadPacketCount
Standard,899,134,765,765,2412,0
Corrected,900,355,703,545,6390,3600
CorrectedML,899,554,747,345,9972,7938

duration,30001
nList,34:34:44:38:38:28:32:40:32:36:34:32:36:34:32:26:34:32:34:24:26:24:28:26:30:20:28:32:24:26:28:26:32:30:24:26:28:26:22:32:28:36:34:34:32:34:38:32:34:28:28:34:28:30:34:36:32:30:30:32:32:28:26:32:28:28:26:28:28:26:28:26:38:26:28:30:22:26:30:26:22:26:34:30:26:36:34:26:34:32:36:38:36:24:28:22:34:18:22:26:20:22:32:38:32:30:38:24:30:36:36:34:36:40:28:28:28:32:32:34:30:36:36:34:28:36:30:26:26:28:24:20:20:18:22:22:20:20:26:26:22:22:24:28:24:28:26:32:28:30:32:28:32:36:46:38:30:32:38:28:24:34:26:26:28:30:30:34:22:26:32:38:30:34:36:30:30:24:38:32:26:32:32:24:28:26:24:22:22:22:30:34:40:26:32:32:40:34:28:34:32:28:30:22:24:26:24:24:18:18:18:18:18:18:24:20:18:28:28:28:24:22:36:32:36:38:28:32:32:28:40:36:34:30:22:36:32:34:30:28:20:20:22:28:18:20:20:22:22:24:30:24:30:22:20:20:18:26:22:20:18:24:22:26:18:18:18:18:18:18:20:24:22:18:20:20:18:22:18:18:18:18:18:18:18:18:18:22:24:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:24:26:22:18:20:22:18:18:18:18:18:18:18:20:24:28:26:22:28:36:30:36:20:30:34:32:28:38:34:24:28:32:32:32:28:32:34:30:32:32:28:36:32:32:24:26:18:22:20:18:22:26:30:28:24:28:28:28:32:28:36:28:30:28:38:34:32:22:30:24:24:30:28:38:32:38:36:32:34:34:36:40:36:26:36:38:32:32:36:26:34:28:38:36:38:28:26:20:28:26:24:20:28:26:30:40:32:32:26:28:26:24:28:28:24:32:20:26:28:26:22:26:24:28:24:26:24:26:28:28:36:28:22:32:28:30:32:38:36:34:28:30:22:32:30:28:26:30:26:32:26:28:30:36:34:24:32:32:26:26:32:32:32:32:36:34:34:30:30:30:32:32:34:28:34:30:28:30:36:34:28:32:38:36:36:38:28:36:36:40:32:26:32:34:34:34:36:30:40:36:32:30:32:34:34:28:32:42:28:34:30:26:30:28:32:32:30:38:38:24:32:30:28:30:30:26:34:34:28:38:30:30:38:28:34:32:32:32:26:24:30:30:28:30:32:34:28:28:32:36:38:28:28:30:38:36:34:38:32:22:22:26:26:22:26:22:26:24:28:24:32:34:30:30:30:30:30:26:38:24:30:28:32:34:32:32:34:30:28:40:26:40:30:34:28:32:30:32:26:34:36:32:26:36:34:32:34:32:34:32:26:32:34:34:32:26:34:28:32:28:38:24:22:24:30:28:28:30:30:32:26:36:28:24:20:20:26:28:28:26:30:22:24:20:18:18:18:18:18:18:18:18:18:18:18:18:22:18:18:18:18:18:18:18:18:18:18:18:20:26:24:20:18:18:18:18:18:22:20:22:20:22:18:22:26:34:30:24:24:24:24:20:18:18:18:18:18:24:20:22:26:30:28:30:32:28:30:28:28:26:30:28:20:20:20:22:26:20:18:18:20:24:24:18:18:18:20:22:18:26:24:24:26:24:24:22:34:32:26:40:32:22:28:18:26:20:24:26:22:26:24:18:18:18:18:18:18:18:18:18:20:22:18:22:22:22:22:26:20:22:18:24:20:26:22:18:18:18:18:22:22:22:20:24:18:18:18:18:18:18:18:18:18:18:22:22:22:26:22:22:24:18:22:20:24:22:26:30:36:34:34:30:30:34:40:28:26:26:32:26:32:32:28:30:22:22:24:30:22:28:28:34:32:30:24:26:18:18:18:18:18:18:18:22:22:20:24:18:22:20:18:18:18:18:18:18:18:18:20:26:20:20:20:22:20:22:22:24:24:26:28:22:22:22:18:18:18:18:20:18:20:18:18:18:18:24:24:22:22:20:20:18:20:18:
