Name,frameCount,frameDisplayed,errorCountBC,errorCountAC,dataPacketCount,overheadPacketCount
Standard,899,207,692,692,3726,0
Corrected,900,301,750,599,5418,3600
CorrectedML,899,562,712,337,10116,6908

duration,30001
nList,26:34:28:34:30:30:34:20:26:26:30:30:24:26:28:32:28:28:30:30:32:28:32:28:30:32:32:30:28:34:36:32:34:36:32:24:26:30:36:30:38:30:34:30:30:28:26:22:20:22:20:26:18:18:22:26:22:22:18:22:18:18:20:30:22:22:30:20:18:22:26:18:24:24:26:22:24:24:32:32:26:26:24:26:20:22:18:18:20:20:24:32:38:30:26:34:28:30:34:28:26:26:30:26:40:28:24:22:20:30:26:42:30:32:26:32:26:30:30:30:34:34:34:26:34:30:24:26:28:20:24:26:24:20:24:18:18:18:18:18:18:18:18:20:22:28:28:30:32:30:32:24:24:24:26:30:30:28:38:32:34:36:24:24:34:32:38:30:34:26:30:30:22:20:22:22:18:24:22:30:24:22:26:26:24:20:24:26:30:30:30:32:24:28:24:18:20:28:30:32:30:34:34:34:26:30:34:34:28:32:32:32:36:36:32:36:32:40:30:38:28:28:30:32:36:26:28:32:22:28:24:24:30:24:20:24:18:18:20:22:24:26:28:26:30:30:36:30:32:32:24:28:34:30:30:30:28:42:26:24:32:36:28:28:42:26:32:32:32:32:28:28:26:32:30:26:30:32:26:34:32:22:20:28:34:26:26:28:24:36:32:28:28:24:30:20:18:18:18:18:18:18:18:18:18:18:18:18:18:18:22:28:22:26:34:30:26:30:32:36:34:34:34:30:34:24:26:34:24:24:28:30:24:24:26:20:36:28:36:34:28:34:32:28:22:24:36:30:26:32:34:32:30:28:30:22:26:28:26:24:24:18:22:18:18:18:18:18:18:18:22:18:18:18:18:18:18:18:18:18:18:18:18:20:20:20:20:24:28:24:24:26:26:26:34:32:26:28:38:22:32:30:30:32:32:28:36:24:40:26:32:28:30:34:28:26:32:32:28:36:30:34:32:30:26:30:38:34:32:30:30:30:32:36:30:38:40:28:28:26:26:32:24:28:32:30:28:30:28:26:26:30:32:36:34:36:24:28:20:24:22:22:20:20:26:18:22:22:18:18:24:22:24:24:28:30:28:28:26:18:18:18:18:18:22:24:30:22:28:30:32:38:36:24:34:28:26:22:18:18:18:18:18:26:20:18:18:20:18:18:20:18:18:18:18:18:18:22:18:26:22:30:18:20:22:22:18:18:18:20:20:18:22:24:30:32:28:18:20:22:26:18:18:20:24:26:30:22:28:18:24:24:22:32:22:28:24:20:22:26:22:26:20:18:18:18:18:20:18:18:18:18:18:18:18:22:26:22:26:24:28:24:30:30:20:24:22:18:18:18:18:18:18:22:22:18:22:18:18:18:28:28:24:28:32:26:22:26:26:30:28:24:30:22:34:30:34:26:30:38:36:28:26:22:30:30:30:28:26:24:32:18:26:20:20:18:20:20:26:20:20:30:22:30:24:18:18:18:18:18:18:18:18:18:18:18:18:22:18:28:20:28:28:26:26:20:22:18:28:20:26:20:26:18:18:18:18:18:18:18:18:18:22:24:24:20:20:24:22:20:22:26:28:20:26:28:38:24:30:36:30:36:30:28:20:20:18:18:18:18:18:18:18:18:18:18:22:22:18:20:22:18:18:18:18:18:18:18:18:18:18:18:18:18:22:26:20:22:28:28:34:30:40:32:36:30:30:36:28:30:30:22:30:24:22:28:30:38:28:20:26:20:18:20:24:24:26:24:24:22:28:28:32:34:32:34:32:28:24:26:30:32:32:34:38:30:36:30:32:38:30:34:30:26:24:18:18:18:18:26:18:20:22:20:26:18:18:18:20:18:18:18:18:18:18:20:18:18:18:18:18:24:18:18:22:20:22:24:30:36:36:34:30:24:28:28:30:32:30:34:28:38:34:36:38:28:26:32:36:34:30:26:28:24:34:28:28:30:30:28:24:24:30:38:34:24:40:26:24:30:32:38:34:32:28:36:18:24:26:30:26:22:20:20:28:20:24:20:18:18:18:18:18:18:18:18:20:20:18:
