Name,frameCount,frameDisplayed,errorCountBC,errorCountAC,dataPacketCount,overheadPacketCount
Standard,899,242,657,657,4356,0
Corrected,900,282,765,618,5076,3600
CorrectedML,899,606,673,293,10908,6584

duration,30000
nList,18:18:18:18:26:22:24:26:18:20:22:22:24:20:26:28:30:20:22:28:24:30:36:34:30:30:28:24:22:18:18:28:34:32:28:26:30:28:20:34:26:26:22:22:18:18:18:18:18:18:18:18:18:18:18:28:22:26:18:18:18:18:18:18:18:18:18:18:18:20:18:18:18:18:18:18:18:18:18:18:18:18:18:22:20:22:30:38:22:34:26:28:32:26:32:30:26:22:22:20:18:18:18:18:18:18:18:20:18:18:18:22:18:18:18:18:18:18:18:18:18:18:22:22:24:22:20:18:22:26:28:30:32:30:28:38:30:34:32:34:34:22:28:34:38:34:30:30:30:32:36:36:36:34:30:34:24:26:28:34:30:28:32:24:30:30:34:32:32:38:32:22:30:32:28:36:42:28:28:34:30:32:28:30:44:32:40:32:36:36:26:34:32:30:36:38:32:28:36:34:28:30:34:36:24:26:32:32:34:34:22:34:34:36:28:30:30:24:30:24:32:20:22:24:24:30:18:18:18:18:18:18:18:18:18:22:18:18:18:18:18:18:18:18:18:18:18:26:20:18:18:18:26:18:22:24:18:18:18:20:24:22:18:24:18:18:18:20:20:26:24:26:20:20:32:34:30:28:30:36:40:30:32:36:32:30:34:30:32:40:32:28:32:30:44:36:34:36:32:34:36:30:36:32:34:26:26:28:20:24:20:34:18:30:22:22:18:18:18:18:18:18:26:24:26:26:32:32:26:26:24:28:18:22:20:18:26:26:20:24:28:30:18:24:32:28:26:30:22:26:30:32:22:26:30:26:36:32:30:30:34:26:28:18:24:24:28:22:20:26:26:28:26:26:22:24:22:24:18:18:18:26:26:34:36:32:28:24:30:32:32:28:30:32:36:40:24:32:30:30:38:32:22:20:28:28:26:24:30:36:26:38:38:36:30:36:32:32:36:34:38:36:42:24:34:26:28:26:24:32:24:30:28:28:28:32:24:26:30:28:26:22:18:22:24:24:28:20:34:26:28:22:20:18:20:26:30:28:34:32:26:20:26:26:30:26:28:20:34:24:30:24:22:24:32:30:36:30:28:36:34:30:32:26:32:34:28:30:30:26:22:28:28:20:18:18:18:18:24:20:26:22:24:22:26:28:30:38:32:34:32:30:40:38:40:32:30:32:34:28:34:32:26:32:22:28:18:18:18:18:18:18:18:18:26:20:26:24:20:24:18:26:22:26:32:24:26:30:20:32:32:36:26:32:26:28:28:40:24:30:32:32:30:42:30:32:26:34:36:28:32:36:26:28:38:26:28:34:24:36:28:36:30:28:26:32:30:38:36:36:30:34:34:36:26:24:28:20:22:24:28:34:24:36:26:24:26:26:26:28:24:32:26:26:26:20:20:24:28:34:24:28:34:30:28:36:32:26:34:30:24:34:28:26:26:28:26:30:26:24:24:24:22:24:28:30:24:38:24:24:30:28:26:32:20:26:30:26:24:22:26:30:22:24:18:20:22:26:18:18:18:18:18:18:18:18:22:18:18:18:18:18:18:18:18:18:18:18:18:22:24:18:24:18:28:26:22:28:24:32:30:30:30:26:24:24:20:24:26:20:24:22:22:30:26:26:24:20:22:18:20:30:24:24:22:20:24:24:26:30:28:26:30:24:32:30:30:34:32:28:32:32:34:32:24:24:20:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:20:20:24:22:22:22:22:22:28:22:18:18:18:22:18:18:18:18:18:18:18:18:18:24:24:20:22:30:24:18:20:18:18:18:18:18:18:18:18:18:18:20:18:18:18:18:26:22:18:24:18:22:26:22:20:22:18:18:18:22:26:24:24:20:18:18:18:18:18:18:20:26:20:18:18:18:18:24:18:20:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:22:36:26:36:26:22:24:30:30:28:32:28:36:32:32:30:30:26:36:22:22:22:
