Name,frameCount,frameDisplayed,errorCountBC,errorCountAC,dataPacketCount,overheadPacketCount
Standard,901,203,698,698,3654,0
Corrected,901,401,690,500,7218,3604
CorrectedML,901,599,703,303,10782,6106

duration,30001
nList,26:26:28:22:18:22:26:24:20:28:20:28:22:32:20:20:20:18:18:18:18:18:20:20:22:28:20:24:26:20:24:24:26:22:26:32:28:26:26:20:30:24:32:30:32:34:36:30:22:34:36:32:28:30:30:34:30:30:34:28:28:28:26:30:30:26:28:34:28:26:26:34:24:34:28:24:28:36:36:30:36:28:20:26:32:30:32:24:32:30:30:28:28:28:26:24:26:34:24:24:26:26:28:26:24:26:22:22:22:22:20:24:28:20:24:24:26:24:24:22:22:30:32:28:26:22:24:24:30:24:18:18:18:18:18:18:28:28:26:28:30:26:24:30:32:28:30:22:22:24:18:18:22:20:18:26:26:24:20:20:20:22:20:18:18:18:24:20:20:22:26:24:20:24:18:18:18:20:32:24:32:26:24:36:24:26:26:24:24:20:18:20:18:20:20:22:24:24:24:28:32:26:26:30:20:22:24:24:24:28:22:26:30:36:32:34:34:24:28:28:28:20:24:20:20:18:26:28:18:18:20:24:18:18:18:18:20:20:18:24:18:18:26:24:28:30:32:24:28:24:22:22:30:30:34:32:22:32:26:18:18:26:24:24:22:22:26:24:30:34:34:30:34:38:24:24:28:22:22:30:32:30:32:32:22:30:28:26:26:36:32:36:28:24:32:24:26:22:20:24:28:28:26:24:36:30:32:30:32:26:28:24:26:26:20:32:28:34:26:28:28:34:34:30:22:30:36:36:28:32:28:28:26:22:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:22:26:24:24:22:24:20:24:28:20:20:18:18:22:18:18:18:18:18:18:18:18:18:18:18:22:18:18:18:22:18:18:18:18:18:18:22:22:32:24:24:28:22:30:28:28:30:30:28:34:24:22:28:26:20:20:18:18:26:30:30:30:26:22:18:18:20:20:24:22:22:20:26:28:36:28:38:34:34:32:30:40:38:24:36:24:34:32:34:32:32:36:38:30:38:26:28:22:24:26:32:32:30:30:28:34:32:32:34:26:34:36:36:24:36:28:38:28:22:18:18:22:18:18:18:18:18:18:20:22:22:20:22:18:18:18:20:24:18:24:20:22:24:24:18:26:22:20:20:20:32:26:26:18:20:22:28:28:22:18:24:34:22:22:26:28:24:28:26:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:26:18:18:22:30:24:22:30:30:26:24:18:22:22:18:20:22:18:18:18:18:18:18:18:24:22:18:18:18:18:18:20:24:26:24:20:18:24:26:26:22:24:26:22:24:28:32:30:30:32:32:30:42:26:32:38:30:32:32:22:30:34:28:26:26:28:22:24:20:18:18:20:18:24:24:26:32:26:30:34:30:30:24:32:34:22:18:28:24:26:34:22:28:28:24:22:24:28:24:28:26:32:24:24:20:22:24:24:24:26:26:24:26:24:34:30:32:26:24:32:34:28:30:34:28:30:30:28:34:30:26:34:26:34:28:30:30:34:26:32:30:24:26:20:22:28:26:34:26:34:24:32:28:36:30:30:24:20:24:26:32:30:32:28:24:22:20:22:18:18:18:18:22:30:26:26:28:24:22:28:30:26:32:18:18:20:26:20:18:18:18:18:18:18:18:18:22:18:18:18:18:18:18:18:18:20:28:22:32:32:30:30:28:34:28:30:24:30:26:20:28:18:18:18:18:26:18:18:20:20:18:24:20:28:26:30:30:30:28:32:22:30:28:36:30:34:36:34:28:36:28:38:26:26:30:32:28:34:30:30:32:20:30:20:28:18:20:30:24:22:22:18:18:18:18:22:24:22:26:22:26:24:18:18:18:22:24:26:20:20:26:24:30:30:20:28:18:22:22:20:24:22:26:24:22:18:18:18:18:28:24:20:20:18:20:22:20:28:30:28:18:30:20:26:26:26:22:22:30:26:20:22:18:18:18:18:18:18:24:20:26:24:24:20:22:18:18:22:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:24:28:32:20:
Standard,0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:1:0:0:0:0:1:0:0:0:1:0:1:1:1:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:3:0:0:0:0:0:10:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:1:0:0:0:0:1:0:0:0:0:1:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:
Corrected,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:1:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:1:1:0:0:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:0:0:0:4:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:3:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:1:0:0:1:0:0:0:1:0:0:0:0:0:1:1:2:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:1:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0:1:0:1:0:1:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:1:1:0:1:1:0:1:0:0:0:0:0:0:1:0:0:1:1:1:1:1:0:0:0:0:0:0:0:1:0:1:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:1:0:0:1:0:0:0:0:0:0:0:1:1:0:0:1:1:0:1:1:0:0:0:0:0:0:1:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:1:0:0:1:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:1:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:1:0:0:1:0:0:1:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:0:4:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:1:0:0:0:0:0:1:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:
CorrectedML,42:9:13:11:14:11:10:11:9:10:10:11:10:9:9:12:29:25:54:22:6:7:7:8:8:7:28:33:32:17:17:10:13:13:11:12:13:10:13:10:10:11:11:10:10:12:12:12:13:12:12:12:12:12:13:12:12:12:12:13:12:12:15:19:15:14:15:21:22:19:14:28:18:17:16:16:21:22:19:17:14:31:26:19:9:10:11:10:25:25:28:21:20:28:16:10:10:11:11:10:24:27:29:26:14:9:7:11:10:16:13:14:14:18:17:14:14:12:15:12:15:14:18:13:18:16:16:17:14:14:17:15:11:12:13:21:32:11:42:29:15:14:8:9:28:46:22:9:13:14:9:9:12:18:26:27:27:22:11:13:13:11:14:13:12:14:14:18:12:12:10:12:12:15:14:16:10:11:12:12:11:22:23:27:21:26:33:17:11:9:11:11:10:11:19:24:30:26:31:13:10:9:10:19:31:32:14:12:12:11:11:13:13:12:12:12:15:13:12:15:14:14:14:19:15:14:16:17:19:16:20:20:18:17:14:19:26:15:26:18:25:28:26:16:13:13:14:14:26:34:35:11:8:7:9:12:14:14:12:10:15:19:30:28:22:12:12:12:10:15:13:10:17:15:17:18:18:12:10:9:19:24:28:29:13:6:7:8:15:20:24:23:19:19:21:13:9:10:10:8:11:23:34:30:29:12:8:10:12:15:11:12:18:11:16:12:12:13:13:22:30:30:26:25:34:20:10:10:11:23:27:33:22:16:10:9:9:13:19:16:18:17:23:15:17:18:16:16:15:15:15:18:21:21:17:15:21:17:19:21:22:15:8:8:7:10:22:23:27:24:17:9:10:9:9:9:16:18:16:13:14:15:22:22:21:15:15:18:17:17:17:16:19:16:14:17:17:14:18:21:17:19:18:21:18:27:16:17:17:21:18:15:14:10:10:10:13:11:13:18:23:24:21:22:22:36:25:21:24:23:18:21:14:17:17:19:18:19:21:16:22:15:18:21:21:26:17:17:23:24:21:20:21:21:22:21:24:25:25:26:22:10:10:10:24:25:30:32:23:13:14:11:10:11:14:24:23:17:12:12:14:13:15:11:18:19:19:19:16:18:22:18:19:17:20:25:20:22:22:12:15:14:11:15:12:14:15:18:12:24:24:18:12:14:13:12:10:10:13:14:12:16:15:12:13:19:20:21:19:13:17:21:19:16:12:13:13:14:12:13:17:12:15:16:14:13:14:14:13:12:18:12:16:13:15:25:19:18:19:17:17:13:12:13:14:12:14:13:14:17:17:18:18:13:14:14:13:13:13:14:12:13:13:12:12:14:15:25:16:14:14:15:13:13:17:15:18:14:14:14:15:14:20:13:12:14:13:13:12:17:22:26:33:11:12:12:13:22:29:27:41:19:15:11:13:14:13:17:13:16:13:15:30:36:33:19:8:8:9:21:19:21:23:26:27:21:18:26:26:25:17:15:13:12:13:13:12:16:12:14:17:22:14:14:23:36:33:19:23:28:19:18:18:21:17:21:19:19:21:25:27:31:12:9:18:20:22:23:25:25:11:16:13:10:13:19:12:11:14:14:11:11:19:30:57:15:13:8:9:8:12:20:20:22:24:20:22:17:16:10:10:9:9:18:18:26:25:17:22:19:21:20:23:25:25:11:9:8:10:15:20:28:17:8:7:26:27:26:30:15:9:9:14:11:12:14:10:13:19:13:20:14:9:11:12:16:14:13:10:41:34:30:14:8:6:11:11:16:13:14:17:16:18:14:14:13:14:13:11:13:13:16:15:14:14:14:16:18:16:12:13:12:11:10:13:14:13:16:14:31:20:18:13:15:13:14:14:11:11:14:15:14:16:14:14:15:12:12:14:11:16:13:13:13:13:15:13:17:14:12:15:12:29:18:14:12:13:22:20:20:19:23:27:14:13:13:12:10:16:13:19:16:28:16:12:13:15:13:16:14:24:15:15:13:16:18:13:9:10:9:16:11:9:13:11:8:12:8:12:10:10:8:13:12:7:12:10:8:9:8:9:13:
