Name,frameCount,frameDisplayed,errorCountBC,errorCountAC,dataPacketCount,overheadPacketCount
Standard,900,275,625,625,4950,0
Corrected,900,335,705,565,6030,3600
CorrectedML,900,596,668,305,10728,5994

duration,30004
nList,28:32:32:32:30:34:34:36:36:26:20:28:24:30:32:28:28:32:32:28:30:26:32:28:22:26:30:22:28:18:26:28:30:32:30:28:34:22:18:22:18:18:18:22:18:22:22:22:22:22:20:30:34:30:30:30:34:36:24:30:30:28:38:34:30:30:28:28:32:26:34:26:26:28:30:20:22:28:30:30:32:24:28:24:20:18:28:24:30:26:18:18:26:26:20:24:18:18:18:18:18:18:18:18:18:18:20:24:18:20:18:18:18:18:18:22:30:24:34:36:28:24:32:30:30:26:24:24:24:24:22:22:18:20:20:30:22:26:18:18:22:26:28:24:18:26:40:32:30:22:18:20:22:18:28:28:34:42:28:28:38:28:28:28:24:26:26:22:22:26:20:20:24:24:22:20:26:22:22:28:26:22:26:18:18:18:18:22:22:40:34:30:22:24:22:26:26:24:20:20:18:18:18:18:18:18:18:18:18:18:30:26:24:28:28:26:24:22:22:22:22:22:24:22:22:22:26:34:42:38:26:28:34:34:30:26:30:30:32:30:32:38:34:26:28:32:24:26:26:24:18:30:20:20:18:18:18:18:18:18:18:18:18:20:20:18:18:18:18:18:18:18:20:18:18:18:18:18:18:18:18:18:18:18:18:22:22:26:26:18:24:22:22:18:20:22:28:20:26:26:24:30:24:32:22:24:26:26:18:18:18:18:18:18:18:20:28:32:22:18:24:20:18:18:18:18:18:18:18:18:20:18:18:18:24:18:18:18:18:18:18:24:24:22:26:22:26:32:26:20:22:22:22:24:32:20:20:22:22:22:28:32:24:32:22:18:24:20:20:24:24:30:26:24:28:30:22:22:24:26:30:28:24:22:22:22:36:28:36:32:30:34:32:34:26:38:40:34:26:30:22:24:24:28:26:30:34:26:26:32:36:36:30:28:26:42:28:30:30:36:28:36:34:28:40:32:30:34:34:34:32:36:30:28:34:32:36:32:34:32:34:30:26:30:26:26:20:20:26:22:30:22:24:18:18:20:28:26:24:26:18:20:18:24:20:20:24:18:18:18:18:18:18:18:18:18:20:22:20:26:20:24:24:22:20:22:18:18:18:22:26:30:20:22:26:26:24:24:26:26:26:26:28:28:30:22:26:24:30:28:24:20:26:26:22:26:24:26:34:28:32:34:24:24:28:26:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:26:18:22:20:18:20:22:24:24:22:28:22:20:20:18:20:18:18:18:18:18:18:18:18:18:18:22:20:24:24:20:18:22:28:24:30:22:36:30:24:22:28:24:24:24:30:22:26:28:22:20:22:24:28:28:24:38:26:34:28:28:26:30:34:30:30:26:34:34:30:24:32:34:36:30:36:36:34:34:28:26:32:32:28:30:32:32:36:28:26:32:32:30:20:42:26:18:20:18:22:20:22:20:22:20:18:18:22:24:22:26:20:18:18:20:22:24:30:32:22:26:22:18:18:24:24:34:30:32:22:30:22:24:26:26:18:18:18:18:18:22:18:24:24:24:24:32:24:32:28:32:22:30:34:30:32:34:32:28:38:32:38:28:22:24:30:26:24:26:28:34:26:36:38:32:28:26:18:26:24:28:40:40:34:30:34:36:36:26:40:28:30:30:36:28:26:24:22:28:18:22:18:18:20:18:18:18:18:18:18:18:18:18:18:18:18:22:22:18:18:18:18:18:18:18:18:18:18:18:20:18:18:18:18:18:18:18:18:24:26:28:24:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:18:22:18:24:28:24:18:26:22:18:18:18:20:22:24:24:28:30:24:24:26:28:34:20:28:22:26:24:36:30:30:32:30:28:26:32:32:32:34:38:36:32:30:26:22:22:20:22:18:18:18:18:18:18:18:26:20:22:24:22:18:24:32:24:30:26:26:30:38:34:36:24:32:32:30:26:30:32:28:32:24:20:26:22:24:22:28:32:20:30:22:20:28:
Standard,1:0:1:1:0:0:0:0:2:0:1:0:1:1:0:0:0:1:1:1:1:1:0:0:0:1:0:1:1:1:0:0:1:0:1:1:1:0:1:0:0:0:0:1:0:1:1:0:1:0:0:1:0:1:1:0:0:0:0:1:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:1:0:0:0:0:0:1:0:0:0:1:0:1:1:0:1:1:0:1:0:0:0:0:0:1:0:1:0:0:1:0:0:0:0:1:0:1:0:1:0:0:0:1:0:0:1:0:0:0:1:0:1:0:0:0:0:0:1:0:0:1:0:1:1:0:0:0:0:1:1:0:1:0:1:1:1:0:0:1:0:0:0:1:0:0:0:1:1:1:0:0:0:0:1:1:0:1:0:0:0:0:0:0:0:0:0:1:1:0:1:1:0:0:0:0:0:1:1:0:0:1:1:0:0:0:0:0:1:0:1:1:1:0:1:1:1:1:1:0:1:0:0:1:1:0:1:1:0:0:1:0:1:0:0:0:0:1:1:0:1:0:0:0:1:0:1:0:1:1:1:1:0:0:0:1:0:0:0:1:1:1:0:0:1:0:0:1:1:1:0:1:1:1:0:0:0:0:0:0:1:1:1:0:0:1:0:1:1:1:1:1:1:0:1:0:1:1:1:1:0:1:1:0:1:1:1:0:1:0:0:0:1:1:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:1:1:0:0:0:1:1:0:1:1:0:1:1:1:1:1:0:0:1:1:1:1:0:0:0:1:1:1:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:1:2:0:0:0:0:0:0:1:0:0:0:0:0:0:1:1:0:0:0:0:0:0:1:0:0:0:0:1:1:1:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:1:1:1:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:4:0:0:0:0:0:0:0:0:0:0:1:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:1:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:1:0:0:0:1:1:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:1:0:1:1:1:0:1:0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:1:1:1:1:1:0:1:1:0:1:0:1:1:1:0:0:0:1:1:0:1:1:1:1:1:0:0:0:1:1:1:0:1:2:0:0:0:0:0:0:0:1:1:0:0:1:0:0:0:0:0:0:0:1:1:3:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:2:0:0:0:1:0:0:1:1:1:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:1:1:1:0:0:1:0:1:1:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:1:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:1:1:0:1:1:0:
Corrected,0:0:0:1:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:1:0:0:1:0:1:1:0:0:1:0:0:0:0:1:0:0:0:0:1:0:1:0:1:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:1:0:1:0:1:1:0:0:0:0:0:0:0:0:1:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:1:0:1:0:0:1:0:1:1:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:6:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:1:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:1:0:0:1:0:0:0:1:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:1:0:0:1:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:1:0:0:0:0:0:1:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:1:0:0:0:0:0:1:0:0:0:1:0:0:1:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0:1:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:1:1:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:1:0:0:0:1:0:0:0:0:1:0:1:0:0:0:0:0:1:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:0:10:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:1:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:1:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:1:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:
CorrectedML,28:24:26:19:19:19:18:24:22:31:22:19:20:13:16:14:13:16:17:16:14:16:16:15:16:15:16:16:14:16:17:14:17:19:17:17:24:28:25:18:11:10:9:28:25:32:30:27:16:19:23:17:19:16:26:23:22:27:56:20:10:12:12:8:21:24:23:26:25:20:12:10:10:24:29:27:20:29:30:20:13:15:13:24:24:24:25:24:25:12:12:35:25:33:24:28:22:25:21:20:27:29:27:34:30:11:13:11:13:18:17:18:17:20:17:16:17:19:22:21:24:18:23:21:22:18:18:16:16:19:19:19:18:17:19:15:16:16:16:20:17:16:20:17:17:17:16:18:20:19:16:17:16:18:16:18:17:25:23:19:22:18:21:27:23:22:18:16:18:16:30:25:25:24:12:11:22:22:23:22:23:21:29:29:21:13:13:13:12:12:12:13:15:13:13:16:13:14:12:16:18:14:15:19:15:13:15:18:21:15:13:13:16:15:15:18:15:18:15:13:13:16:14:14:14:16:18:17:15:20:20:22:24:30:30:12:10:20:25:34:16:15:17:21:18:29:18:17:17:19:17:16:21:15:17:17:22:19:22:22:23:20:21:28:18:22:20:22:20:20:20:18:26:20:17:19:26:20:16:20:20:20:17:15:15:15:15:16:17:20:14:16:18:14:17:17:18:21:17:20:17:16:17:17:19:19:17:20:18:17:19:16:16:17:20:18:17:21:21:18:19:17:16:22:12:10:9:12:10:11:12:13:16:14:14:13:15:20:25:28:20:12:13:7:13:17:15:15:18:17:17:16:18:19:17:21:17:16:19:15:17:18:19:21:22:18:17:23:17:27:19:24:26:29:21:37:16:10:11:7:11:9:20:24:36:22:23:14:14:11:11:10:10:13:13:17:20:17:20:24:9:8:9:9:12:25:20:20:20:21:24:26:25:20:19:24:14:8:7:8:9:12:17:20:31:29:29:15:14:11:11:11:12:17:18:17:19:21:26:25:18:20:11:10:12:10:24:26:38:36:22:17:9:8:8:20:26:36:33:16:12:9:10:9:11:16:14:10:11:12:11:11:10:10:19:24:24:22:25:27:10:10:11:10:10:14:11:12:12:11:13:12:17:16:13:17:33:26:26:21:11:9:8:8:11:13:35:38:49:16:11:9:13:10:9:26:45:28:13:15:8:9:8:10:11:12:19:18:11:18:13:18:11:11:11:10:12:13:13:12:16:12:12:12:14:13:19:13:13:24:12:18:13:15:10:13:21:11:16:19:19:13:14:17:17:11:14:13:27:24:30:11:9:10:9:13:17:20:16:16:12:16:17:13:20:22:23:26:21:17:24:19:20:11:10:8:9:15:20:18:19:24:20:20:26:33:18:20:22:29:20:15:13:12:13:12:11:12:13:13:13:13:15:17:26:17:17:21:18:18:18:18:36:18:12:8:10:12:12:14:15:15:14:14:14:15:16:14:14:15:18:14:50:20:20:9:8:10:9:13:13:23:35:25:47:12:12:10:12:10:14:14:15:15:31:27:17:21:17:10:13:11:14:11:13:11:11:9:13:12:11:16:10:10:11:12:12:13:32:46:21:9:9:9:18:21:24:21:22:23:21:21:30:15:9:9:9:9:11:13:11:12:10:19:15:16:16:16:20:14:16:13:15:18:15:14:14:46:25:11:8:10:9:10:16:19:13:13:16:13:19:15:12:13:18:19:14:15:22:13:13:12:12:12:12:12:11:12:11:12:11:12:22:24:22:17:18:16:15:18:17:13:15:13:17:17:22:16:19:22:12:10:9:8:9:11:19:22:30:25:14:8:11:8:9:31:54:33:13:22:10:7:28:27:40:10:9:8:10:12:12:15:14:14:15:20:13:18:14:22:20:18:17:16:17:19:18:22:17:15:13:15:12:19:30:27:26:21:38:19:17:11:26:23:13:9:9:10:8:11:14:12:13:13:14:11:14:13:15:35:44:28:15:8:30:43:17:11:11:9:10:16:19:16:16:18:21:26:48:23:14:11:8:8:16:23:21:21:19:22:19:
