Name,frameCount,frameDisplayed,errorCountBC,errorCountAC,dataPacketCount,overheadPacketCount
Standard,900,160,740,740,2880,0
Corrected,900,331,693,569,5958,3600
CorrectedML,900,567,759,333,10206,7460

duration,30000
nList,36:34:36:34:30:28:30:30:36:30:38:34:28:32:34:32:34:28:30:30:30:32:34:32:40:34:24:44:26:32:28:26:30:38:32:26:28:30:36:28:28:26:28:26:34:28:32:36:30:34:34:28:34:30:26:28:32:26:38:24:28:28:24:28:34:32:30:36:28:28:28:32:30:32:26:36:28:34:22:30:30:34:28:30:22:26:24:28:28:34:32:32:34:36:26:32:36:38:34:34:34:30:24:22:18:18:18:18:18:18:18:20:22:20:32:38:30:34:30:28:28:30:28:20:18:26:28:30:34:28:34:34:30:24:20:22:30:26:22:26:24:34:28:38:36:36:28:30:26:30:32:32:36:24:30:32:38:32:36:36:32:34:44:30:32:24:26:26:26:36:26:26:28:30:22:22:24:26:20:22:32:30:28:30:30:20:28:30:20:22:24:24:26:18:18:18:20:26:18:18:18:18:18:18:24:22:24:24:26:26:24:30:28:26:32:36:32:42:26:28:30:24:20:22:18:18:18:18:18:18:18:18:18:18:18:22:18:18:18:18:18:22:20:24:18:18:18:18:24:24:26:26:30:34:28:32:28:18:24:30:28:32:34:26:28:24:30:24:24:32:36:28:34:30:18:34:28:26:20:26:26:24:22:28:28:24:32:30:30:28:30:18:26:30:28:26:30:26:32:24:20:30:28:28:26:24:28:28:30:32:26:34:32:36:34:32:38:26:32:26:32:26:30:28:32:24:18:20:22:20:20:20:24:24:34:26:34:22:38:40:28:30:30:26:32:20:22:32:18:22:20:24:20:18:18:18:18:22:18:18:18:24:22:22:26:24:20:32:18:18:22:26:18:18:18:20:18:18:26:30:22:20:18:18:18:18:18:26:20:18:22:20:24:18:22:18:18:18:22:20:20:20:30:24:26:22:18:28:26:28:26:26:26:36:32:36:34:34:36:34:40:28:28:30:26:26:28:34:32:38:24:32:32:28:32:42:36:34:34:32:38:26:42:24:30:28:28:24:22:26:24:28:22:20:22:22:28:26:30:26:26:22:26:34:26:24:20:28:20:28:26:28:22:20:24:26:20:18:24:28:26:22:24:22:24:24:24:24:22:22:24:22:24:18:18:18:18:20:22:18:18:18:18:18:18:18:18:24:18:18:18:18:18:18:18:18:18:18:18:18:18:18:24:28:30:26:26:30:26:26:26:22:18:26:24:24:32:30:26:24:42:32:34:26:26:22:44:24:34:32:34:26:32:26:26:38:38:28:30:28:30:38:36:36:34:32:24:30:34:30:38:28:30:30:26:28:22:26:22:20:18:22:28:30:36:28:32:38:34:32:32:32:30:28:26:34:30:34:30:20:24:20:22:26:20:22:24:18:18:20:22:20:26:22:24:22:24:22:22:28:20:24:32:28:36:22:22:28:32:30:36:30:32:28:32:22:34:28:38:32:36:26:28:34:26:34:38:30:40:40:32:30:20:30:36:36:24:26:28:24:26:24:38:32:20:26:32:36:24:26:22:24:18:26:22:20:26:26:30:26:18:26:28:30:28:26:28:32:24:20:18:18:18:18:18:18:18:18:26:22:24:20:18:20:24:22:20:18:26:18:24:20:22:26:28:22:20:22:20:18:20:18:18:18:18:18:18:18:18:18:18:18:22:24:20:22:24:28:26:28:20:24:30:34:26:24:28:20:22:24:18:18:18:18:18:20:20:18:18:18:18:18:18:18:20:24:18:24:24:20:18:18:20:18:18:18:18:18:18:18:22:22:26:20:28:22:20:22:22:24:30:36:32:32:32:24:30:30:26:30:26:20:26:26:32:32:28:26:32:26:32:26:30:40:28:26:18:30:38:32:36:36:28:30:30:32:32:34:36:36:34:36:34:30:24:32:30:38:30:32:30:26:32:32:30:34:30:30:34:30:28:26:32:28:32:22:24:18:18:18:24:24:26:20:18:18:18:18:18:18:18:18:18:18:22:18:18:28:34:28:22:20:24:30:28:24:30:24:34:32:32:28:28:40:34:34:34:34:36:34:
Standard,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:1:1:1:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:0:0:0:1:0:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:1:1:0:0:0:0:0:0:0:0:0:1:0:1:0:1:0:1:0:0:0:0:0:1:0:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0:0:1:1:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:
Corrected,0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:1:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:1:0:0:1:0:0:0:0:1:4:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:1:0:0:0:0:0:1:1:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:0:0:0:0:1:0:0:1:0:1:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:1:0:0:0:1:0:1:0:0:1:0:0:0:0:1:0:0:0:1:1:0:1:1:0:0:1:0:4:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:1:0:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:1:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:1:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:1:0:0:1:0:0:1:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:1:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:1:1:0:0:0:0:0:0:0:1:0:1:1:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:1:0:0:1:0:0:0:0:1:0:0:0:0:0:0:1:0:1:0:0:1:0:1:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:1:1:1:0:0:1:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:1:0:0:1:1:0:0:0:0:0:1:0:0:1:1:0:0:0:0:0:1:1:0:0:0:1:0:1:0:1:1:0:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:1:0:0:1:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:1:
CorrectedML,8:9:11:9:13:24:23:25:30:31:19:11:9:8:11:13:14:30:28:24:27:21:10:10:11:16:15:15:14:15:16:15:17:16:15:22:13:17:17:15:14:14:15:19:28:28:25:16:9:10:10:10:20:25:22:40:12:8:7:18:8:7:10:23:18:29:45:12:9:9:14:12:13:10:11:10:12:15:17:18:21:19:20:24:25:20:19:18:31:20:10:7:8:10:17:18:26:23:30:11:10:11:9:24:22:29:21:10:9:9:9:9:15:15:25:19:18:18:18:18:27:18:13:11:12:21:27:22:29:27:19:18:23:24:22:22:28:33:17:19:18:20:25:23:21:24:16:10:9:9:9:9:14:13:14:13:22:14:15:17:13:17:24:28:26:23:23:22:32:28:23:14:7:22:23:23:24:22:26:25:23:24:18:13:14:14:15:14:16:17:14:17:18:16:15:14:16:15:14:14:18:16:16:16:17:20:18:16:25:23:23:20:23:36:21:17:8:8:7:15:20:19:25:23:22:21:19:27:21:25:27:28:16:11:12:12:12:11:13:18:13:28:28:23:24:20:10:12:44:22:20:12:10:10:8:11:14:17:17:16:16:15:15:19:16:14:14:14:17:15:14:13:14:16:18:24:29:21:13:10:10:8:12:17:15:21:17:20:16:13:12:11:11:12:11:11:13:16:17:26:20:20:16:18:18:17:17:14:14:14:14:15:32:28:29:24:8:10:8:9:12:13:15:15:14:12:18:15:16:28:28:42:22:18:12:9:13:12:16:25:22:17:19:18:19:21:18:20:17:16:20:17:17:17:17:18:18:17:21:22:17:18:19:17:18:19:15:16:17:15:17:19:18:17:18:16:16:17:15:17:22:16:19:17:17:19:18:17:19:17:17:19:18:15:20:19:16:53:17:12:9:8:11:15:20:20:19:22:20:23:25:13:10:10:12:17:15:16:15:18:13:16:18:16:16:16:14:23:27:27:27:8:9:9:14:18:24:26:20:24:22:18:17:19:20:20:19:21:18:19:25:17:16:20:20:14:16:16:18:17:18:24:19:16:17:19:16:20:18:19:26:18:18:18:18:16:21:17:17:18:17:17:21:19:17:18:12:18:18:16:20:17:16:15:17:18:17:14:15:13:14:15:22:19:16:18:17:16:17:29:18:16:21:16:19:18:18:8:10:10:9:20:18:23:30:20:19:25:10:9:9:7:10:19:20:20:22:21:19:20:18:22:18:18:21:20:18:21:28:20:18:20:21:25:20:22:20:19:20:18:19:22:21:22:22:23:22:25:27:18:13:12:14:12:11:13:12:14:12:22:23:36:26:17:10:26:42:14:8:25:49:21:12:9:9:10:11:24:28:48:21:8:9:9:10:11:13:20:19:21:21:22:23:26:21:22:21:15:12:11:13:13:16:41:35:20:19:11:14:13:13:13:12:13:14:15:20:24:22:21:20:21:22:24:25:20:19:35:20:16:16:16:25:16:19:18:19:17:19:18:17:20:17:19:18:20:26:31:34:16:18:16:17:16:17:14:17:17:23:16:22:19:25:19:20:16:25:25:22:20:21:23:21:21:22:24:27:24:32:19:15:9:10:13:22:22:26:24:24:21:15:14:14:15:15:18:14:21:16:14:21:16:20:19:26:25:22:12:12:10:12:11:21:21:29:56:9:11:21:28:27:24:19:21:21:20:20:25:21:21:23:16:14:11:12:17:10:13:17:19:19:17:15:15:15:14:13:13:14:15:14:13:13:14:13:12:19:20:27:21:31:22:12:13:11:12:12:11:16:21:16:18:16:17:16:17:19:18:18:17:17:17:17:22:21:17:17:18:17:23:20:25:18:18:17:17:17:26:18:17:20:18:18:27:19:24:24:18:18:22:30:28:24:29:14:18:20:16:16:16:15:15:22:26:18:24:32:7:9:9:12:18:30:40:23:28:16:11:10:12:9:12:15:12:12:14:12:13:12:13:13:33:26:14:11:12:27:22:31:26:23:12:13:13:13:19:21:22:19:19:20:39:12:7:8:6:24:25:25:21:
